# catalogVersion;syncItemKey;pk;airportName;airportPhoneNumber;drivingDirection;hotelDirection;mvwcTransportInfo;shuttleServiceFlag;transportHelpInfo
Output Catalog:Online;airportSAVMapsAndTransportation;8797469687426;Savannah/Hilton Head International Airport - SAV;912-964-0514;From I-95 North: Take exit 8 in South Carolina (Highway 278). Go East on Hwy 278 for approx. 20 miles. Go over two consecutive bridges that span the Inter Coastal waterway onto Hilton Head Island. As you reach the division of Hwy 278, stay in the right lane, following the signs for Hwy 278 business (William Hilton Parkway). Proceed to Shelter Cove Harbour approximately 8 miles onto the Island. Drive past the plaza and the mall at Shelter Cove. At the traffic light, turn right, then take second quick left onto Shelter Cove Lane and continue 6/10 of a mile. The resort entrance is on the left.;45 miles NE;8796496707202;;
Output Catalog:Online;airport_15_for_MapAndTransportation_00002;8796492217986;Savannah/Hilton Head International Airport - SAV;912-964-0514;Follow signs exiting airport to I-95 North. From I-95, I-95 take exit 8, continue on highway 278 (approx. 40 mins). Once over the HHI bridge, go approx. 4 miles to the Cross Island Expressway ($1.25 toll road). Follow expressway onto Palmetto Bay Road. Enter Sea Pines traffic circle from the left lane & follow circle to Pope Avenue (2nd right). Take Pope Avenue to Coligny Circle. Exit onto so forest beach Drive (1st right). Drive 3/4 mi. Hotel on left.;45 miles NE;8796492152450;false;<ul><li>Estimated taxi fare: $85 USD (one way)</li></ul>
Output Catalog:Online;airport_51_for_MapAndTransportation_00001;8796456992386;Miami International Airport - MIA;305-876-7000;Take State Road 836 (Dolphin Expressway) W. Drive approx. 5 miles to NW 87th Ave N. Exit. Once exited, make a left turn at first traffic light - NW 12th St. At next traffic light make right on NW 87th Ave (Galloway Road), drive approx 2 miles, the resort will be on the right hand side.;7 miles SE;8796456959618;false;"<ul>
    <li>Estimated Independent Airport shuttle service, at airport. Estimated fare per person: 21 USD (one way)</li>
 <li>Taxi Estimated fare: 30 USD (one way)</li>
</ul>"
Output Catalog:Online;Resort_TD_Maps_And_Transportation_DPS_001;8797766729346;Ngurah Rai International Airport - DPS;+62 361 9351011;"<p>From the Ngurah Rai International Airport, follow the sign towards Nusa Dua. Turn right at the second traffic light to Jalan By Pass Ngurah Rai.</p>
<p>After 11 km, turn right at the traffic light to Jalan Siligita, follow the road for another 3 km turning right at the crossing. Travel for another 200 m. Marriott's Bali Nusa Dua Gardens will be on the left hand side of the road.</p>
<p>The alternative way from Ngurah Rai International Airport by use Mandara Toll Road to Nusa Dua.  After exiting Toll road, turn left on Jalan By Pass Ngurah Rai and follow the directions to Jalan Siligita above.</p>
<p>Airport shuttle service, reservation required, fee: 220000 IDR (one way) </p>";7.6 miles SE;8797766696578;true;
Output Catalog:Online;SO-ResortAirportDirections-PBI;8796720250498;Palm Beach International Airport - PBI;561-471-7420;Travel on James L Turnage Blvd following signs for I-95. Keep right at the fork, follow signs for I-95 S/Miami and merge onto I-95 S Keep left to stay on I-95 S. Travel 69.1 miles. Keep right at the fork to stay on I-95 S, follow signs for US 441/Florida 9/Florida 826/Forida Turnpike, .9 miles then keep left to stay on I-95 S, follow signs for Miami, 1.6 miles. Merge onto I-95 S, .9 miles then use the left 2 lanes to take exit 2D toward I395 E/Miami Beach, .9 miles. Merge onto MacArthur Causeway. Travel 1.4 miles and continue onto Florida A1A N/State A1A N. Travel 3.7 miles then exit LEFT on Collins Avenue. Continue on Collins Avenue for 0.8 mile then turn right onto 14th St. Turn left onto Ocean Dr. and the resort will be on the left.;;8796720152194;;
Output Catalog:Online;airport_24_for_MapAndTransportation_00001;8796526493314;Newport News/Williamsburg International Airport - PHF;757-877-0221;From I-64 West take Lightfoot Exit 234A (Rte. 199). Proceed on Rte. 199 East approximately 4.5 miles to Longhill Rd. Exit (Rte. 612). Stay in right exit lane and turn right at stoplight onto Longhill Rd. Proceed on Longhill Rd. for 2.4 miles to entrance to Ford's Colony on left. Turn left onto Ford's Colony Dr. and go 1.1 miles. Follow traffic circle to St. Andrews Dr that veers to the right.Marriott's Manor Club entrance is on the left. There will be small signs directing you to Marriott's Manor Club.;30.0 mi W;8796526427778;false;<ul><li>Alternate Transportation: Carey Limousines 757-875-5466</li><li>Estimated taxi fare: 75 USD (one way)</li></ul>
Output Catalog:Online;airport_24_for_MapAndTransportation_00003;8796526526082;Norfolk International Airport - ORF;757-857-3351;From I-64 West take Lightfoot Exit 234A (Rte. 199). Proceed on Rte. 199 East approximately 4.5 miles to Longhill Rd. Exit (Rte. 612). Stay in right exit lane and turn right at stoplight onto Longhill Rd. Proceed on Longhill Rd. for 2.4 miles to entrance to Ford's Colony on left. Turn left onto Ford's Colony Dr. and go 1.1 miles. Follow traffic circle to St. Andrews Dr that veers to the right.Marriott's Manor Club entrance is on the left. There will be small signs directing you to Marriott's Manor Club.;50.0 mi W;8796526427778;false;<ul><li>Estimated taxi fare: 100.00 USD (one way)</li></ul>
Output Catalog:Online;airport_mayflower_from IAD;8796814229122;Washington Dulles International Airport - IAD;703-572-2700;<ul><li>Follow the signs to Interstate 66 East to Washington, D.C. Follow I-66 to the Theodore Roosevelt Bridge (US Route 50). Take the E Street exit off the bridge. Turn left onto 17th Street which becomes Connecticut Avenue. The hotel is on the right side of Connecticut Avenue.</li></ul>;;8796504735362;;
Output Catalog:Online;airport_34_for_MapAndTransportation_00001;8796531310210;Fort Lauderdale-Hollywood International Airport - FLL;954-359-1200;Take 95 North for 49 miles to Exit 76 (Blue Heron Blvd) for 6.5 miles. Turn right off the exit and follow for approximately 4 miles. Continue over the Blue Heron Bridge and make a right at Lake Drive traffic light (2nd light). Turn left onto Tacoma Lane and follow to end. Turn right on Ocean Avenue. Marriott's Ocean Pointe is the 1st driveway on the left. From Florida's Turnpike (North and Southbound): Take exit 109 to PGA Boulevard east, proceed 4.5 miles to US 1. Cross US 1, which becomes A1A, continue 5.1 miles to Lake Drive, turn left. Proceed 0.6 miles to the end of Lake Drive, bear left onto Inlet Way for 0.3 miles. Proceed to the end of Inlet Way, turn left. The main resort entrance is 0.2 miles ahead on the right.;50.0 mi NE;8796531277442;false;<ul><li>Estimated taxi fare: 120.00 USD (one way)</li></ul>
Output Catalog:Online;airport_1_for_MapAndTransportation_00001;8796464037506;Reno-Tahoe International Airport - RNO;775-328-6400;Take US-395 South towards Carson City/South Lake Tahoe for approximately 30.6 miles to US-50. Continue on US-50 South approximately 22.3 miles to South Lake Tahoe. Estimated travel time 1 hour 15 minutes.;54 mile(s) NE;8796464004738;false;<ul><li>Estimated taxi fare: 180 USD (one way)</li></ul>
Output Catalog:Online;SO-ResortAirportDirections-FLL;8796720217730;Fort Lauderdale-Hollywood International Airport - FLL;954-359-1200;From Terminal Dr. head west following the signs for departure and toward I-595 W. Keep right at the fork, following the signs for I-595 W/95/Florida's Turnpike. Keep left to stay on I-95 S, following signs for Miami for 25.1 miles. Exit I-95 via ramp at sign reading I-395 E (MacArthur Causeway) to Miami Beach. Travel 1.4 miles and continue onto Florida A1A N/State A1A N. Travel 3.7 miles then exit LEFT on Collins Avenue. Continue on Collins Avenue for 0.8 mile then turn right onto 14th St. Turn left onto Ocean Dr. and the resort will be on the left.;;8796720152194;;
Output Catalog:Online;airport_57_for_MapAndTransportation_00001;8796478127746;Kahului Airport - OGG;808-872-3830;"Exit Kahului Airport and continue onto AIRPORT ACCESS RD. AIRPORT ACCESS RD becomes KUIHELANI HWY/HWY 380 at PUUNENE intersection. Continue straight onto KUIHELANI HWY/HWY 380 until last traffic signal. Turn LEFT onto HONOAPIILANI HWY/HWY 30 and continue north. Proceed toward Lahaina & Ka'anapali. Turn left at traffic light at KAANAPALI PARKWAY, proceed &#188; mile to NOHEA KAI DRIVE, turn left and Resort entrance will be on right.";30.0 mi N;8796478094978;false;"<ul><li>Alternate transportation: SpeediShuttle and Arthur's Limousine; reservation required</li><li>Bus service fee: $50 USD (one way)</li><li>Estimated taxi fare: $90 USD (one way)</li></ul>"
Output Catalog:Online;airport_6_for_MapAndTransportation_00001;8796467314306;Phoenix Sky Harbor International Airport - PHX;602-273-3300;Take Interstate 10 West to Highway 51 North to Loop 101 East to the Tatum Boulevard exit. Turn left and follow the boulevard to Marriott Drive. Turn right and at the roundabout take the first right into Canyon Villas.;30.0 mi N;8796467281538;false;<ul><li>Estimated taxi fare: $60 USD (one way)</li></ul>
Output Catalog:Online;airport_33_for_MapAndTransportation_00002;8796450930306;Fort Lauderdale-Hollywood International Airport - FLL;954-359-1200;From I-95 (Northbound): Take Exit 79A for PGA Boulevard east, proceed 2.6 miles to US 1. Cross US 1, which becomes A1A, continue 5.1 miles to Lake Drive, turn left. Proceed 0.6 miles to the end of Lake Drive, bear left onto Inlet Way for 0.3 miles. Proceed to the end of Inlet Way, turn left. The main resort entrance is 0.2 miles ahead on the right. From Florida's Turnpike (North and Southbound): Take exit 109 to PGA Boulevard east, proceed 4.5 miles to US 1. Cross US 1, which becomes A1A, continue 5.1 miles to Lake Drive, turn left. Proceed 0.6 miles to the end of Lake Drive, bear left onto Inlet Way for 0.3 miles. Proceed to the end of Inlet Way, turn left. The main resort entrance is 0.2 miles ahead on the right.;50 miles NE;8796450897538;;<ul><li>Estimated taxi fare: $120 USD (one way)</li></ul>
Output Catalog:Online;airport_41_for_MapAndTransportation_00001;8796547071618;Salt Lake City International Airport - SLC;801-575-2400;Directions from Salt Lake City Airport: Take I-80 East to exit 145 toward Kimball Junction. Turn right at the end of the ramp onto UT-224 S and go 5.7 miles to the intersection where you see the sign for Main Street. Turn left onto Deer Valley Drive. Go through the first light (Bonanza Drive) and follow the road as it curves to the right. Marriott Summit Watch will be the 3rd (third) entrance on the right just past the entrance to Main Street. Turn into our roundabout to arrive at the lobby. We do have a Main street address, but our lobby is off of Deer Valley Drive.;28.0 mi NW;8796547038850;false;<ul><li>Contact Concierge Services at 435-647-4100 for information on transportation</li><li>Estimated taxi fare: $85-165 USD (one way)</li></ul>
Output Catalog:Online;airport_58_for_MapAndTransportation_00001;8796504768130;Ronald Reagan Washington National Airport - DCA;703-417-8000;<ul><li>Follow the signs to Washington, D.C. (George Washington Parkway). Take the I-395/Route 1 north exit, which is the 14th Street Bridge. Merge to the far left lane and follow the signs for 14th Street. Follow 14th Street for approximately 10 blocks and make a left onto K Street. Merge into the right service lane on K Street. Make a right onto Connecticut Avenue. The hotel is on the right.</li></ul>;;8796504735362;;
Output Catalog:Online;NY-ResortMapAndTransportation-EWR;8796721299074;Newark Liberty International Airport - EWR;973-961-6000;Exit airport on Terminal Access Road to US-1N to Hwy 21. Then take the New Jersey Turnpike /I-95 exit. Merge onto I-95 N and take exit 16E toward Lincoln Tunnel. Stay right at RT-495E. Turn Right at 40th St, then turn right at 5th Ave. Turn right at 37th St and the hotel will be on the right.;;8796721200770;;
Output Catalog:Online;airport_46_for_MapAndTransportation_00001;8796537306754;San Francisco International Airport - SFO;650-821-8211;From Highway 101 South/San Francisco International Airport: Take Highway 101N to Interstate-80E (To Bay Bridge), exit 4th St., go straight one block to 3rd St. Turn left onto 3rd St. Cross Market St. 3rd St. becomes Kearny St. Take first right onto Post, turn right onto Montgomery, then turn right onto Market Street. The Ritz-Carlton Club and Residences is on the right.;;8796537273986;false;
Output Catalog:Online;airport_34_for_MapAndTransportation_00002;8796531342978;Palm Beach International Airport - PBI;561-471-7420;Take 95 North to Exit 76 (Blue Heron Blvd) for 6.5 miles. Turn right off the exit and follow for approximately 4 miles. Continue over the Blue Heron Bridge and make a right at Lake Drive traffic light (2nd light). Turn left onto Tacoma Lane and follow to end. Turn right on Ocean Avenue. Marriott's Ocean Pointe is the 1st driveway on the left. From Florida's Turnpike (North and Southbound): Take exit 109 to PGA Boulevard east, proceed 4.5 miles to US 1. Cross US 1, which becomes A1A, continue 5.1 miles to Lake Drive, turn left. Proceed 0.6 miles to the end of Lake Drive, bear left onto Inlet Way for 0.3 miles. Proceed to the end of Inlet Way, turn left. The main resort entrance is 0.2 miles ahead on the right.;15.0 mi NE;8796531277442;false;<ul><li>Alternate Transportation: Towncar</li><li>Estimated taxi fare: 35.00 USD (one way)</li></ul>
Output Catalog:Online;airport_16_for_MapAndTransportation_00001;8796519415426;Hilton Head Island Airport - HHH;843-255-2950;Take Airport road to Hwy 278. Turn East. Follow 278 approximately 9 miles to the Sea Pines Traffic Circle. Take 2nd right onto Greenwood Drive. Entrance fee to Sea Pines (per car): USD 6.00. Upon check-in at the resort, receive Sea Pines pass. Make right on Plantation Drive. At stop sign turn right onto Lighthouse Rd. Resort is 1 mile ahead on the right hand side. Lobby phone number: 843-363-3020.;9 miles E;8796519382658;false;<ul><li>Alternate Transportation: Lowcountry Adventure Tours</li><li>Estimated taxi fare: 30 USD (one way)</li></ul>
Output Catalog:Online;airport_38_for_MapAndTransportation_00002;8796514107010;LA/Ontario International Airport - ONT;909-544-5300;Travel east on East Airport Drive to South Haven Avenue and turn left. Take the ramp for Interstate 10 East and merge onto the freeway. Continue on Interstate 10 East to the Monterey Avenue exit and turn right. Follow Monterey Avenue for 1.5 miles to Shadow Ridge Road and turn left.;78.0 mi SE;8796514041474;false;<ul><li>Estimated taxi fare: 30.00 USD (one way)</li></ul>
Output Catalog:Online;airport_5_for_MapAndTransportation_00001;8796465413762;Fort Lauderdale-Hollywood International Airport - FLL;954-359-1200;From Fort Lauderdale/Hollywood International Airport: Take US 1 N, 1 mile to SE 17th St. Go east on 17th St. for approximately 2 miles, the road becomes Fort Lauderdale Beach Boulevard (formerly State Road A1A). Continue north on Fort Lauderdale Beach Boulevard approximately 1.5 miles. The resort is on the left behind BeachPlace Shopping Mall. Enter the parking garage from either Cortez Street or Fort Lauderdale Beach Boulevard northbound, take a ticket, and proceed to level P4 or P5. From Points North: Take I-95 South to Sunrise Boulevard Go east approximately 4.5 miles to Fort Lauderdale Beach Boulevard (formerly State Rd A1A). Go south on Fort Lauderdale Beach Boulevard for approximately 1 mile. The resort garage entrance is on left. Take a parking ticket and go to garage level P4 or P5 for the resort entrance.;5.0 mi NE;8796465380994;false;<ul><li>Estimated taxi fare: 25 USD (one way)</li></ul>
Output Catalog:Online;airport_39_for_MapAndTransportation_00001;8796425895554;Robert L Bradshaw International - SKB;869-465-8121;SKB-St. Kitts (Robert L. Bradshaw Arpt.): Exit Airport, at roundabout, take 2nd exit. Go straight to end of road. Turn left onto Frigate Bay Road. At 1st roundabout keep right, continuing on Frigate Bay Road. At next roundabout, take 2nd exit at next roundabout, take 1st exit. Continue to hotel on right. The Marriott's St. Kitts Beach Club is on the same complex as the St. Kitts Marriott Resort & Casino.;4.0 mi S;8796425862786;false;<ul><li>Estimated taxi fare: $16 USD (one way)</li></ul>
Output Catalog:Online;airport_29_for_MapAndTransportation_00002;8796424191618;Vail Eagle County Regional Airport - EGE;970-328-2680;Go NW on N. Airport Rd. to US-6. Turn left on US-6 . Merge on I-70 E toward Denver for 61.3 miles. Take exit #201 (Frisco/Breckenridge) & turn right on W. Main St. Turn right on S. Summit Blvd./CO Hwy 9 & continue for 9.3 miles. Continue through to last stoplight in Breckenridge (next to the Conoco Gas Station). At light take right on Broken Lance Dr. At stopsign take right & continue 1/8 mi. to our property located on right side. Parking is limited to one space per villa.;76.0 mi NW;8796424126082;false;<ul><li>Contact our At Your Service Team at 970-453-8500 for information on transportation</li></ul>
Output Catalog:Online;airport_13_for_MapAndTransportation_00001;8796490088066;Atlantic City International Airport - ACY;609-645-7895;Exit Airport and proceed around traffic circle. Follow signs for Route 646 East (Mill Road). Stay on Mill Road East to Route 9 North. Turn left at light onto Route 9. Cross over Route 30 and continue on Route 9 North approximately 2.5 miles. Turn left into Marriott's Fairway Villas and proceed down Fairway Lane to the Registration Building located on the left.;10.0 mi E;8796490022530;false;<ul><li>Alternate Transportation: Absolute Transportation</li><li>Estimated taxi fare: 30.00 USD (one way)</li></ul>
Output Catalog:Online;airport_11_for_MapAndTransportation_00001;8796474818178;Palm Springs International Airport - PSP;760-318-3901;Exit airport, turn left on El Cielo. Go approx. 1/2 mile (6 /10ths) to Ramon Road. Turn left on Ramon Road, go 6 miles to I-10. Take I-10 East for 3 1/2 miles and exit at Cook Street. Turn right on Cook Street, go 2 1/2 miles to the Villas entrance. The entrance is on Cook Street, on right side of street 1/2 mile past Country Club Drive. Turn right on Riviera Drive.;14 miles SE;8796474785410;false;<ul><li>Estimated taxi fare: $45 to $50 USD (one way)</li></ul>
Output Catalog:Online;airport_7_for_MapAndTransportation_00001;8796469673602;Palma de Mallorca Airport - PMI;+34 902 40 47 04;Follow the signs to Playa De Palma / Santanyi / Llucmajor and take exit #20 at the sign Son Antem. At the round about take the 2nd exit to the right and follow this small lane for about 1 km, parallel to the hwy. At the large Marriott sign turn right until you come through the security gate of the resort and continue following the signs to the hotel where the reception is located.;12.0 km SW;8796469640834;false;<ul><li>Estimated taxi fare: 35 EUR (one way)</li></ul>
Output Catalog:Online;airport_45_for_MapAndTransportation_00001;8796455583362;Reno-Tahoe International Airport - RNO;775-328-6400;Start going North toward East Plumb Lane -- 0.3 miTake the I-580N/US-395N ramp on the left to I-80/Reno/Sparks/Truckee -- 341 ftKeep right at the fork and merge onto I-580N/US-395N -- 2.7 miTake exit 68B to merge onto I-80W toward Sacramento entering California -- 32.0 miTake exit 188 for CA-89/CA-267 toward Sierraville/Lake Taho, at bottom of off ramp turn left onto CA-267S -- 6.2 miYou will hit Northstar Drive at a light and find signs to Northstar at Tahoe Go straight past and take your first right onto Highlands Drive*** (you will find a big sign that says Ritz-Carlton Highlands, Lake Tahoe and at the bottom, Northstar Highlands.  Follow the road all the way up, you will find another sign for The Ritz-Carlton, turn left onto the road -- 2.9 mi.  You will find signs to The Ritz-Carlton Club, follow signs, stay to the right, go past the loading dock of the Hotel, up the winding road, the Club is at the top of the Highlands Gondola.  If chain controls are in place, Turn RIGHT on Northstar Drive -- 0.2 mi. When you reach the ROUNDABOUT, proceed three-quarters of the way around the ROUNDABOUT and turn RIGHT on Ridgeline Drive -- 0.5 mi. When Ridgeline Drive dead ends, turn RIGHT on Highlands View Road and proceed as above.;;8796455550594;false;
Output Catalog:Online;airport_33_for_MapAndTransportation_00001;8796450963074;Palm Beach International Airport - PBI;561-471-7420;From I-95 (Northbound): Take Exit 79A for PGA Boulevard east, proceed 2.6 miles to US 1. Cross US 1, which becomes A1A, continue 5.1 miles to Lake Drive, turn left. Proceed 0.6 miles to the end of Lake Drive, bear left onto Inlet Way for 0.3 miles. Proceed to the end of Inlet Way, turn left. The main resort entrance is 0.2 miles ahead on the right. From Florida's Turnpike (North and Southbound): Take exit 109 to PGA Boulevard east, proceed 4.5 miles to US 1. Cross US 1, which becomes A1A, continue 5.1 miles to Lake Drive, turn left. Proceed 0.6 miles to the end of Lake Drive, bear left onto Inlet Way for 0.3 miles. Proceed to the end of Inlet Way, turn left. The main resort entrance is 0.2 miles ahead on the right.;15 miles NE;8796450897538;;<ul><li>Alternate transportation: Towncar</li><li>Estimated taxi fare: $35 USD (one way)</li></ul>
Output Catalog:Online;airport_26_for_MapAndTransportation_00001;8796524789378;Hilton Head Island Airport - HHH;843-255-2950;Take Airport road to Hwy 278. Turn East. Follow 278 approximately 9 miles to the Sea Pines Traffic Circle. Take 2nd right onto Greenwood Drive. At Sea Pines gate, pay $6 USD fee. Make right on plantation Dr. at stop sign, turn right onto Lighthouse Road. For Heritage Club - Turn left on Lighthouse Lane, 3/4 mile on right. Entrance fee to Sea Pines (per car): USD 6.00. Upon check-in at the resort, receive Sea Pines pass. 18 Lighthouse Lane Lobby phone number: 843-363-3012;9 miles E;8796524756610;false;<ul><li>Estimated taxi fare: $30 USD (one way)</li></ul>
Output Catalog:Online;airport_22_for_MapAndTransportation_00002;8796506799746;Orlando International Airport - MCO;407-825-2001;Exit north to 528 West (Beach Line) (this is a toll road). Exit 3/John Young Pkwy South, turn left on John Young Pkwy. Make a right onto Whisper Lakes, make a left into resort.;10.0 mi E;8796506734210;false;<ul><li>Alternate Transportation: Mears Taxi Company, 423-5566</li><li>Estimated taxi fare: 50 USD (one way)</li></ul>
Output Catalog:Online;airport_mayflower_from BWI;8796814261890;Washington International Airport - BWI;410-859-7111;"<ul><li>Head northeast on Elm Road toward Gov Harry R Hughes Drive. Continue onto I-195 W. Take exit 2B for MD-295 S/Baltimore/Washington Parkway toward Washington, D.C. Merge onto MD-295 S. Take the exit onto US 50 W toward Washington, D.C. Take the exit toward Ft. Lincoln Drive/South Dakota Avenue. Keep left at the fork and follow signs for South Dakota Avenue. Take a slight right onto South Dakota Ave NE and then a slight left to stay on South Dakota Ave NE. Turn right onto Vista Street NE. Take the first left onto Central Avenue NE. Turn left onto Rhode Island Avenue NE. Turn left onto 11th Street NW. Turn right onto K Street NW. Turn right onto Connecticut Avenue NW. The hotel is on the right.&nbsp;</li></ul>";;8796504735362;;
Output Catalog:Online;NY-ResortMapAndTransportation-LGA;8796721233538;LaGuardia Airport - LGA;718-533-3400;Exit airport on Grand Central Parkway W. Take exit 4 to Brooklyn Queens Expressway toward 1-278. Merge onto E Brooklyn Queens Expy S/Queens Midtown Expy S. Take exit 35 and merge onto I-495 W. Take exit toward 3rd Ave/41. Merge onto E 37th St and the hotel will be on the right.;;8796721200770;;
Output Catalog:Online;airport_44_for_MapAndTransportation_00001;8796538388098;Aspen-Pitkin County Airport - ASE;970-920-5380;"Turn right out of the airport on to Hwy. 82 towards Aspen. Travel approximately 2.2. miles to the traffic circle. At the traffic circle exit the first exit (Maroon Creek Road). Travel approximately 1.4 miles to the Highlands Ski area. Turn left on Prospector Road and drive straight into The Ritz-Carlton<sup>&reg;</sup> Club.";;8796538355330;false;
