# catalogVersion;syncItemKey;pk;villaAccomodationHeading;villaAccomodationOverview;villaAmenitiesSummary;villaAmentiesIntro;villaAmentiesTitle;villaAmentiesSubTitle;villaDiningHeading;villaDiningOverview;villaAmentiesDisclaimer;resort
Output Catalog:Online;Resort_TD_Villa_Amenities_001;8797768236674;Accommodations Overview;"<ul>
<li>2-bedroom 2-bath, 1-bedroom 1-bath, or Guestroom</li>
<li>Select Lock-Off apartments</li>
<li>Balcony</li>
<li>Complimentary Wi-Fi</li>
</ul>";;Our spacious holiday apartments are a warm and welcoming respite, thoughtfully appointed with creature comforts you appreciate.;Apartment Amenities;;;;<p>**Access to hotel amenities is subject to change.</p>;8796781248513
Output Catalog:Online;VillaAmenities_00029;8796425240194;Accommodations Overview;<ul><li>Studio 1-bath or 1-bedroom 2-bath villa</li><li>Flat screen television with premium programming</li><li>DVD players</li></ul><p>In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.</p>;;After a day filled with activity and action or rest and relaxation, you'll cherish returning to your cozy and well-appointed villa.;Villa Amenities;Villa Amenities;Dining In Your Villa;<p>Having a full kitchen in your villa gives you lots more dining options - from whipping up hot cocoas to hosting dinners for your family and invited guests. Everything is here to eat-in whenever you like. Making your own meals saves you a mountain of money, too.</p>;(Accommodations Overview): Being in a high alpine area we use natures air conditioning to cool our villa's, please note we do not have air conditioning on property.(Villa Floor Plans): .Features and amenities are subject to change.;8796162654209
Output Catalog:Online;VillaAmenities_00056;8796436217474;Accommodations Overview;<ul><li>2-bedroom 2-bath or 3-bedroom 3-bath villa</li><li>Flat screen television with premium programming</li><li>DVD players</li></ul><p>In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.</p>;;Your 2- or 3-bedroom apartment makes an attractive and welcoming respite after a lovely day spent under the Mediterranean sun.;Villa Amenities;Villa Amenities;Dining In Your Villa;<p>You'll appreciate the great convenience and economy of having a full kitchen and separate dining area in your apartment. This option is great for families - for enjoying leisurely breakfasts or hosting freshly prepared dinners in the evenings.</p>;Features and amenities are subject to change.;8796162818049
Output Catalog:Online;VillaAmenities_00030;8796444343938;Accommodations Overview;<ul><li>2-bedroom 2-bath villa</li><li>Flat screen television with premium programming</li><li>DVD players</li></ul>In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.;;Spacious, elegantly appointed and filled with modern conveniences, your 2-bedroom villa provides a warm and welcoming retreat.;Villa Amenities;Villa Amenities;Dining In Your Villa;<p>Whether you're making pancakes and coffee in the a.m., hot cocoa for breaks or hearty meals for the whole family at dinner, the fully stocked kitchen in your villa pays off time and time again. You'll find it saves you tons of trouble and a mountain of money as well.</p>;Features and amenities are subject to change.;8796162949121
Output Catalog:Online;VillaAmenities_00031;8796530818690;Accommodations Overview;"<ul>
    <li>2-bedroom 2-bath villa</li>
    <li>Flat screen television with premium programming</li>
    <li>DVD players</li>
</ul>
<p>In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.</p>";;Fresh and contemporary in design and decor, 2-bedroom villas make it easy to feel exquisitely at home.;Villa Amenities;Villa Amenities;Dining In Your Villa;<p>You'll be glad several times each day that there's a full kitchen inside your villa. You can't beat the convenience and flexibility of dining in whenever you like. And you have to love the savings this option offers, especially for families.</p>;Features and amenities are subject to change.;8796164292609
Output Catalog:Online;VillaAmenities_00023;8796423700098;Accommodations Overview;<ul><li>2-bedroom 2-bath villa</li><li>Flat screen television with premium programming</li><li>DVD players</li></ul><p>In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.</p>;;Sun-filled days are complemented by sleep-filled nights in 2-bedroom villas that are spacious, comfortable and thoughtfully appointed.;Villa Amenities;Villa Amenities;Dining In Your Villa;<p>With a full kitchen and dining area right in your villa, meals won't consume much of your vacation budget.<br />The dine-in option saves you time and is convenient for everything from enjoying a late breakfast on your balcony to sneaking a midday snack from the fridge.</p>;Features and amenities are subject to change.;8796162621441
Output Catalog:Online;VillaAmenities_00057;8796480814722;Accommodations Overview;<ul><li>Guestroom</li><li>1-bedroom 2-bath suite</li><li>2-bedroom 3-bath suite</li></ul>;;A paradise within paradise, splendid 1- and 2-bedroom villas and suites offer garden/mountain or ocean views, generous space and thoughtful amenities.;Villa Amenities;Villa Amenities;Dining In Your Villa;<p>In your villa, you can make your morning coffee, grab in-between-activity snacks or prepare meals for the whole family whenever you like. You save time and precious vacation dollars as well.</p>;Features and amenities are subject to change.;8796163538945
Output Catalog:Online;VillaAmenities_00008;8796484845186;Accommodations Overview;<ul><li>Two bedroom two bath or three bedroom three bath villa</li><li>Flat screen television with premium programming</li><li>DVD players</li></ul><p>In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.</p>;;The glittering setting for this remarkable south Florida resort is perfectly complemented by spacious, state-of-the art villas that feature floor-to-ceiling windows and expansive balconies with stunning island, resort or Gulf views.;Villa Amenities;Villa Amenities;Dining In Your Villa;<p>The fully stocked gourmet kitchen in your villa makes it all the more enjoyable to dine in whenever you like. Enjoy everything from cold drinks to snacks to complete home-cooked meals. You're sure to appreciate the big savings, too.</p>;Features and amenities are subject to change.;8796163604481
Output Catalog:Online;VillaAmenities_00017;8796496150146;Accommodations Overview;<ul><li>2-bedroom 2-bath villa</li><li>Flat screen television with premium programming</li><li>DVD players</li></ul><p>In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.</p>;;From cozy studios to spacious 2-bedroom villas, you'll enjoy comfortable and convenient accommodations to please the entire family.;Villa Amenities;Villa Amenities;Dining In Your Villa;<p>You'll really appreciate the full kitchen right in your villa. It's a great convenience for light lunches, quick breakfasts, easy snacks from the fridge or hot meals for the whole family. And it's a wonderful way to save valuable vacation dollars.</p>;Features and amenities are subject to change.;8796163768321
Output Catalog:Online;VillaAmenities_00038;8796516957826;Accommodations Overview;<ul>    <li>Guest rooms and 1-bedroom/1-bath villa, 2-bedroom/2-bath</li>    <li>Villas have separate living and dining area with fireplace</li>    <li>Villas have full kitchen with cookware, tableware and breakfast bar</li>    <li>Villas have private balconies/patios</li>    <li>Villas have televisions, DVD player, washer/dryer</li>    <li>Master suite has king bed, oversized tub, shower</li>    <li>High-speed wireless Internet access</li></ul><p>In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.</p>;;Bright, airy and as expansive as the surrounding desert panoramas, your 2-bedroom villa offers comfort, convenience and relaxation.;Villa Amenities;Villa Amenities;Dining In Your Villa;"<p>Grab snacks on the run or make meals for the whole family &mdash; even host dinner parties for guests. You can do it all, and save lots of time and money in the process, thanks to the fully stocked kitchen that&rsquo;s right in your villa.</p>";Features and amenities are subject to change.;8796164063233
Output Catalog:Online;VillaAmenities_00020;8796438511234;Accommodations Overview;<ul><li>2-bedroom 2-bath villa or 3-bedroom 3-bath villa</li><li>Flat screen television with premium programming</li><li>DVD players</li></ul>;;Designed to reflect Kauai's expansive spaces and tropical beauty, 2- and 3-bedroom villas make a wonderfully welcoming and generous vacation retreat.;Villa Amenities;Villa Amenities;Dining In Your Villa;Prepare local Hawaiian fare and tropical drinks in your villa's gourmet kitchen. Everything you need is here--from kitchen appliances to dinnerware.;Features and amenities are subject to change.;8796162850817
Output Catalog:Online;VillaAmenities_00048;8796445654658;;;2- and 3-bedroom residences. Bavarian-style architecture and elegant interiors. Fully equipped gourmet kitchen with top-of-the-line appliances and marble slab counters. Spacious living room featuring gas fireplace and entertainment center. Master suites with walk-in closet. Luxurious master bathrooms with double vanities and heated floors. Coffered ceilings and hardwood flooring. Full-size washer and dryer. High-speed Internet access;"Immerse yourself in the comfort and distinction you expect from The Ritz-Carlton<sup>&reg;</sup> when you stay at one of our Vail luxury villas. Throughout each club residence, you will discover an appealing array of fine details and rich textures that create a welcoming atmosphere of elegance.From the moment you arrive at our vacation condos, you will enjoy spacious accommodations and superlative service. Your two, three or four-bedroom club residence includes a separate living room, dining area, fully equipped kitchen and private balcony. Each of the master bathrooms in our luxury villas boasts marble countertops, heated marble tile floors and a lavish whirlpool bathtub.";Residence Amenities;Residence Amenities;;;Features and amenities are subject to change.;8796162981889
Output Catalog:Online;VillaAmenities_00045;8796456271490;;;Spacious living rooms with fireplaces. Viking Professional Series appliances. Heated stone bathroom floors. Fully-equipped gourmet kitchens with wine refrigerators. Master suites with king-sized beds and walk-in closets. Hardwood flooring. Full-size washer and dryer;As incredible as the skiing and other activities are here, your accommodations at this Club are just as impressive.;Villa Amenities;Villa Amenities;;;Features and amenities are subject to change.;8796163145729
Output Catalog:Online;VillaAmenities_00009;8796474359426;Accommodations Overview;<ul>     <li>1-bedroom/1-bath suite</li>     <li>Flat screen television with premium programming</li>     <li>DVD players</li>  <p>In order to better accommodate Owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.</p></ul>;;Past meets present in our elegantly appointed 1-bedroom suites. High ceilings and tasteful furnishings are reminiscent of a charming bygone era, while the kitchenette, high-speed internet and flatscreen televisions provide the conveniences of modern technology.;Cosmopolitan charm in historic Boston.;Villa Amenities;Dining in Your Room;"<p>The kitchenette and separate dining area in your suite lets you dine in whenever you like. This is a tremendously convenient option. It can save you money, too, especially in a city like Boston where you can seldom eat out inexpensively.</p><p style=""position:absolute; bottom:-50px; right:10px"">PL-16-023</p>";Features and amenities are subject to change.;8796163473409
Output Catalog:Online;VillaAmenities_00028;8796450438786;Accommodations Overview;<ul><li>2-bedroom 2-bath or 3-bedroom 2.5-bath villa</li><li>Flat screen television with premium programming</li><li>DVD players</li></ul>;;Refined and relaxing, your spacious and elegantly appointed 2-bedroom villa makes a comfortable and welcoming midday or end-of-day retreat.;Villa Amenities;Villa Amenities;Dining In Your Villa;<p>Whether you want to grab snacks from the fridge or make big meals for the whole family, everything you need is right in your villa. The full kitchen is a great convenience to have on vacation - especially for families. And dining in some of the time is a big money saver too.</p>;(Accommodations Overview): In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival. (Villa Floor Plans):Features and amenities are subject to change.;8796163047425
Output Catalog:Online;VillaAmenities_00014;8796518694530;Accommodations Overview;<ul>     <li>1-bedroom 1-bath, 2-bedroom 2-bath or 3-bedroom 3-bath villa</li>     <li>Flat screen television with premium programming</li>     <li>DVD players</li></ul><p>In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.</p>;;Decorated and furnished in French provincial style, 1-, 2- and 3-bedroom villas are generously sized and equipped with conveniences you'll appreciate.;Villa Amenities;Villa Amenities;Dining In Your Villa;<p>With a full kitchen and separate dining area in your villa, eating out won't eat up so much of your vacation budget. Dining in whenever you want is a tremendous convenience and time saver, too.</p>;(Accommodations Overview): In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.(Villa Floor Plans): Resort currently under construction.Features and amenities are subject to change.;8796164096001
Output Catalog:Online;VillaAmenities_00055;8796546121346;Accommodations Overview;<ul><li>1-bedroom 1-bath, 2-bedroom 2-bath or 3-bedroom 3-bath villa</li><li>Flat screen television with premium programming</li><li>DVD players</li></ul>In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.;;Elegantly appointed and spacious studios, 1-, 2- and 3-bedroom villas provide a warm welcome and ideal home base for families of all sizes.;Villa Amenities;Villa Amenities;Dining In Your Villa;<p>Experience the convenience and economy of having a full kitchen and dining area in your villa whether you're enjoying a quick breakfast, a light lunch or a home-cooked dinner for the whole family.</p>;Features and amenities are subject to change.;8796164554753
Output Catalog:Online;VillaAmenities_00058;8796505620098;Accommodations Overview;"<ul><li>Guestroom, 2 Doubles; Guestroom, 1 King; Deluxe, Guestroom, 2 Doubles; Executive Suite, 1 King; Junior Suite, 1 King, Sofabed</li><li>Updated room design, blending historic luxury and modern style</li><li>Updated marble bathrooms showcase woodtone washstand-style vanities and modern wall vinyl</li></ul><p>In order to better accommodate Owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.</p>";;Blending historic luxury and modern style, our gorgeously designed rooms and suites feature thoughtful perks like plush bedding and high-end bath products.;Room & Amenties;;;;"<p style=""text-align: left;"">Features and amenities are subject to change.</p>";8796163932161
Output Catalog:Online;VillaAmenities_00026;8796526001794;Accommodations Overview;<ul><li>2-bedroom 2-bath villa</li><li>Flat screen television with premium programming</li><li>DVD players</li></ul><p>In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.</p>;;Designed to reflect the relaxed luxury and natural beauty of its surroundings, your spacious and well-appointed 2-bedroom villa provides generous room and comfort that will make everyone feel at home.;Villa Amenities;Villa Amenities;Dining In Your Villa;Enjoy the convenience and economy of having a full kitchen right in your villa. You can prepare full meals, make light lunches or just hit the fridge for cold drinks and snacks whenever you like. Save time and money this way every year.;(Accommodations Overview): In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival. (Villa Floor Plans): Features and amenities are subject to change.;8796164227073
Output Catalog:Online;VillaAmenities_00037;8796536848002;Accommodations Overview;<ul><li>2-bedroom 2-bath villa</li><li>Flat screen television with premium programming</li><li>DVD players</li></ul><p>In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.</p>;;Spacious, gracious and thoughtfully equipped, your 2-bedroom villa is the perfect home base to begin and end a day of Orlando fun.;Villa Amenities;Villa Amenities;Dining In Your Villa;<p>Having a full kitchen in your villa -complete with cookware and tableware - can be a tremendous time and money saver, especially for families. You'll love the convenience of grabbing snacks, drinks and light meals right from your own kitchen.</p>;Features and amenities are subject to change.;8796164390913
Output Catalog:Online;VillaAmenities_00012;8796489596546;Accommodations Overview;<ul><li>2-bedroom 2-bath villa</li><li>Flat screen television with premium programming</li><li>DVD players</li></ul><p>In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.</p>;;Your elegantly appointed, spacious 2-bedroom villa awaits your return as an oasis of comfort and calm.;Villa Amenities;Villa Amenities;Dining In Your Villa;Having a full kitchen and separate dining area in your villa adds great flexibility and economy to dining on vacations - especially for families. Enjoy coffee in the morning, keep snacks in the fridge, even invite friends over for a dinner party right in your villa.;Features and amenities are subject to change.;8796163670017
Output Catalog:Online;PA-resortVillaAmenities-001;8797312335490;Accommodations Overview;"<ul>
<li>2-bedroom 2-bath villa</li>
<li>Private balcony or terrace</li>
<li>Master suite with king-size bed, oversize soaking tub and separate shower</li>
</ul>";;Posh and polished 2-bedroom villas with living rooms, full kitchens and private balconies allow you to unwind, spread out and make yourself at home.;Your spacious vacation retreat;;Dining In Your Villa;You're sure to appreciate the convenience of having a full kitchen right in your villa.;Features and amenities are subject to change.;8796551938049
Output Catalog:Online;VillaAmenities_00039;8796427501186;Accommodations Overview;<ul><li>2-bedroom 2-bath or 3-bedroom 3-bath villa</li><li>Flat screen television with premium programming</li><li>DVD players</li></ul><p>In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.</p>;;Roomy, refined and welcoming, your 2- or 3-bedroom villa is the ideal place to begin and end your vacation days in paradise.;Villa Amenities;Villa Amenities;Dining In Your Villa;<p>With a full kitchen and separate dining area in your villa, eating out doesn't have to consume so much of your vacation budget. You'll find that dining in whenever you like is a tremendous time saver, too, especially for families with varied schedules.</p>;Features and amenities are subject to change.;8796162686977
Output Catalog:Online;VillaAmenities_00003;8796463349378;Accommodations Overview;<ul><li>2-bedroom 2-bath or 3-bedroom 3-bath villa</li><li> Flat screen television with premium programming</li><li> DVD players</li>In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival. </ul>;;Make yourself magnificently at home in spacious and elegantly appointed 2- and 3-bedroom villas.;Villa Amenities;Villa Amenities;Dining In Your Villa;With a full kitchen and separate dining area in your villa, you can dine in whenever you like. This option is a tremendous time and money saver on vacation. Fix quick breakfasts. Grab lunches and snacks. Or gather round the dinner table and share wonderful family time.;Features and amenities are subject to change.;8796163309569
Output Catalog:Online;VillaAmenities_00015;8796493758082;Accommodations Overview;<ul><li>2-bedroom 2-bath villa</li><li>Flat screen television with premium programming</li><li>DVD players</li></ul><p>In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.</p>;;After a day spent exploring Hilton Head Island, you'll enjoy returning to your well-appointed and welcoming 2-bedroom villa, complete with a private balcony or porch.;Villa Amenities;Villa Amenities;Dining In Your Villa;<p>With a full kitchen in your villa, you can dine in or snack whenever you like. Grab snacks or cold drinks from the fridge. Fix light lunches on the go. Or prepare and serve full family meals. There's no way to top the convenience or economy of having this option while on vacation.</p>;(Accommodations Overview): In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.(Villa Floor Plans):Features and amenities are subject to change.;8796163735553
Output Catalog:Online;VillaAmenities_00047;8796510600834;;;Elegantly furnished with designer touches including upscale appliances and fixtures, premium floor-coverings and marble surfaces;Your beautiful, lavishly appointed residence is designed to provide ample room and comforts for your whole family.;Residence Amenities;Residence Amenities;;;Features and amenities are subject to change.;8796163997697
Output Catalog:Online;VillaAmenities_00035;8796455091842;Accommodations Overview;<ul><li>2-bedroom 2-bath villa</li><li>Flat screen television with premium programming</li><li>DVD players</li></ul><p>In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.</p>;;No matter how you spend your vacation time, sumptuous accommodations await your return. Elegantly appointed 2-bedroom villas offer generous space, amenities and comfort.;Villa Amenities;Villa Amenities;Dining In Your Villa;<p>You're sure to appreciate the convenience and great economy of having a full kitchen right in your villa.</p>;(Accommodations Overview): In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.(Villa Floor Plans): Features and amenities are subject to change.;8796163112961
Output Catalog:Online;VillaAmenities_00022;8796508831362;Accommodations Overview;<ul><li>2-bedroom 2-bath, 2-bedroom 2.5 bath or 3-bedroom 3-bath villa</li><li>Flat screen television with premium programming</li><li>DVD players</li></ul><p>In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.</p>;;Exquisite 2- and 3-bedroom multilevel townhomes and 1-, 2- and 3-bedroom villas offer expansive living and dining areas, attractive furnishings and family-friendly creature comforts.;Villa Amenities;Villa Amenities;Dining In Your Villa;<p>Prepare a gourmet meal in your villa's designer kitchen, and enjoy a tranquil breakfast, lunch, or dinner in your spacious dining room.</p>;Features and amenities are subject to change.;8796163964929
Output Catalog:Online;VillaAmenities_00024;8796528230018;Accommodations Overview;<ul><li>2-bedroom 2-bath villa</li><li>Flat screen television with premium programming</li><li>DVD players</li></ul>In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.;;Reflecting the style and grace of a bygone era, studio, 1- and 2-bedroom villas are roomy, welcoming and well-appointed.;Villa Amenities;Villa Amenities;Dining In Your Villa;<p>With a full kitchen and separate dining area in your villa, eating out won't consume so much of your vacation budget. Dining in whenever you want is a tremendous convenience and time saver, too, especially for families.</p>;Features and amenities are subject to change.;8796164259841
Output Catalog:Online;VillaAmenities_00033;8796452404866;Accommodations Overview;<ul><li>2-bedroom 2-bath villa</li><li>Flat screen television with premium programming</li><li>DVD players</li></ul>In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.;;The 2-bedroom oceanfront and oceanview villas feature oversized balconies and all the modern comforts and conveniences of home.;Villa Amenities;Villa Amenities;Dining In Your Villa;Enjoy your fully equipped island kitchen with granite countertops and stainless steel appliances. Relax in your spacious dining area as you enjoy a delicious meal while watching the sun rise or set.;Features and amenities are subject to change.;8796163080193
Output Catalog:Online;VillaAmenities_00002;8796460760706;Accommodations Overview;<ul><li>1-bedroom 1-bath or 2-bedroom 2-bath villa</li><li>Flat screen television with premium programming</li><li>DVD players</li></ul>In order to better accommodate owners and guests with special needs, we encourage you to contact the resort directly, prior to your scheduled arrival.;;Your spacious and stylish villa offers an abundance of comforts and plenty of big windows to gaze out at the amazing surroundings.;Villa Amenities;Villa Amenities;Dining In Your Villa;Enjoy the tremendous convenience and economy of having a full kitchen right in your villa. You can prepare breakfast in the a.m., grab snacks and cold drinks in between afternoon activities, or make main meals for the whole family whenever you like.;Features and amenities are subject to change.;8796163276801
