# catalogVersion;syncItemKey;pk;interests;mvwcTrustResorts;mvwcExchangeResorts;resortAtAGlance
Output Catalog:Online;Resort_Data_00023;8796423241346;DINING,FITNESS_CENTER,GOLF,KIDS_ACTIVITIES,POOL,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious 2-bedroom/2-bath villas accommodate up to 8 guests</li><li>Two spectacular 18-hole golf courses</li><li>Surrounded by pristine golf greens, stunning pools and meticulously manicured grounds</li><li>On-site fitness center, many planned children's and family activities</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00031;8796530359938;BEACH,DINING,FITNESS_CENTER,GOLF,KIDS_ACTIVITIES,POOL,SHOPPING,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Elegantly appointed and spacious villas accommodate up to 8 guests</li><li>Fitness center, two outdoor heated pools, whirlpool, plus separate children's pool</li><li>Sauna, sports court, putting green, and children's activity areas</li><li>Numerous options nearby for water sports, golf, shopping, dining and entertainment</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00030;8796443852418;DINING,FITNESS_CENTER,GOLF,KIDS_ACTIVITIES,POOL,SHOPPING,SKI,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious, elegantly appointed 2-bedroom,2-bath villas accommodate up to 8 guests</li><li>Ski-in/ski-out convenience to Park City slopes</li><li>Four-season recreation including world-class golf, spas, watersports, hiking, fishing, more</li><li>Large, heated central courtyard pool with whirlpool spa</li><li>On-site restaurants, The Marketplace Express<sup>sm</sup> convenience store</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00001;8796464430722;SKI,DINING,WIRELESS_INTERNET_ACCESS,POOL,BIKING,SPA,HEALTH_CLUB;true;true;<h2>Resort-At-a-Glance</h2><ul><li>From the compact comfort of a studio to the incredible spaciousness of multi-room suites, the resort offers an assortment of floorplans, ranging from 360 square feet to approximately 2,500 square feet. </li><li>Located at the base of Heavenly Mountain, adjacent to Heavenly Village, featuring shopping, dining, and entertainment.</li><li>State-of-the-art health club with sauna and fully-equipped fitness center. On-site spa.</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00011;8796476817026;DINING,FITNESS_CENTER,GOLF,KIDS_ACTIVITIES,POOL,SHOPPING,SPA,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious and elegant 2-bedroom/2-bath villas comfortably accommodate up to 8 guests</li><li>7 outdoor pools, whirlpools, surrounding lake with scenic waterfalls</li><li>Excellent golf options at the JW Marriott Desert Springs Resort & Spa and other local courses</li><li>On-site restaurants, The Marketplace<sup>sm</sup> store, fitness center and planned kids activities</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00007;8796471639682;BEACH,DINING,FITNESS_CENTER,GOLF,KIDS_ACTIVITIES,POOL,SHOPPING,SPA,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;false;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious and elegantly appointed 2- and 3-bedroom townhouses accommodate up to 8 people</li><li>Deluxe townhouse accommodations with private terrace/garden area with gas grill</li><li>Spectacular Mediterranean resort featuring two 18-hole golf courses and luxury spa</li><li>Expansive, beautiful manicured grounds with indoor and outdoor pools</li><li>Restaurants and lounges, fitness center, The Marketplace<sup>sm</sup> convenience store, Kid's Club</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00054;8796543008386;BEACH,DINING,FITNESS_CENTER,GOLF,KIDS_ACTIVITIES,POOL,SHOPPING,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious and elegantly appointed 2-bedroom/ 2-bath villas accommodate up to 8 guests</li><li>Spectacular oceanfront resort with private beach next to Frenchman's Reef & Morning Star Marriott Beach Resort</li><li>Large infinity-edge beachfront pool with slide and spa</li><li>Access to the exceptional spa and many fine restaurants at adjoining Marriott resort</li><li>On site is The Marketplace convenience store, fitness center and planned children's/family activities</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00056;8796435660418;BEACH,DINING,FITNESS_CENTER,GOLF,KIDS_ACTIVITIES,POOL,SHOPPING,SPA,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2>Elegantly appointed, spacious 2- and 3-bedroom apartments accommodate up to 8 guests <li>Stunning oceanfront resort with beach access, beautiful pools, manicured grounds and panoramic ocean views </li><li>European luxury spa </li><li>Near excellent golf courses, restaurants and cultural attractions </li><li>Onsite restaurant for breakfast, lunch and dinner, The Marketplace convenience store, fitness center, planned children's/family activities </li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00055;8796545760898;DINING,FITNESS_CENTER,GOLF,KIDS_ACTIVITIES,POOL,SHOPPING,SPA,THE_MARKETPLACE,THEME_PARK,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2> <ul> <li>Elegantly appointed, spacious studios, 1-, 2- and 3-bedroom villas for up to 10 guests</li> <li>Surrounded by 4 giant pool complexes, a welcoming lake, winding walkways and trails</li> <li>World-class golf at the Grande Vista Golf Club and nearby courses</li> <li>Restaurants, The Marketplace convenience store, fitness center and planned children's activities</li> </ul> <p>Features, furnishings and amenities may be proposed and are subject to change.</p>
Output Catalog:Online;Resort_Data_00051;8796458237570;DINING,FITNESS_CENTER,GOLF,POOL,SPA,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;"<h2>Resort-At-a-Glance</h2><ul><li>Spacious, elegantly appointed 2-bedroom/2-bath villas accommodate up to 8 guests</li><li>Located at Doral<sup>&reg;</sup> Golf Resort & Spa, with access to 5 championship 18-hole courses and a world-class spa</li><li>In one of Miami's hottest districts, featuring exceptional dining, arts, shopping and nightlife</li><li>Outstanding on-site restaurants and lounges, store, fitness center and children's activities</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>"
Output Catalog:Online;Resort_Data_00028;8796449980034;BEACH,DINING,FITNESS_CENTER,GOLF,POOL,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious and elegantly appointed 2-bedroom/2-bath villas accommodate up to 6 guests</li><li>Nonsmoking resort</li><li>Spectacular oceanfront resort beside expansive Atlantic Ocean beach</li><li>Beautifully landscaped and wooded grounds with swimming pool and natural ponds</li><li>Located near many world-class golf courses, restaurants and recreational areas</li><li>On-site fitness center and planned family and children's activities</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00013;8796491202178;DINING,FITNESS_CENTER,GOLF,POOL,SPA,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious and elegantly appointed 2-bedroom villas accommodate up to 8 guests</li><li>Adjacent to the Seaview Resort & Spa with privileged access to the Pines and Bay courses at the Seaview Resort & Spa</li><li>Gorgeous Plantation-style resort on scenic grounds with several indoor and outdoor pools and golf-course views</li><li>On-site restaurant, The Marketplace Express<sup>sm</sup> convenience store and fitness center</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00042;8796430777986;BEACH,DINING,FITNESS_CENTER,GOLF,POOL,SHOPPING,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious and elegantly appointed 2-bedroom/2-bath villas accommodate up to 6 guests</li><li>A nonsmoking resort</li><li>Beautiful resort overlooking Shelter Cove Harbour, surrounded by lush grounds</li><li>Located near many world-class golf courses, restaurants and recreational areas</li><li>On-site fitness center and planned family and children's activities</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00045;8796456009346;DINING,FITNESS_CENTER,GOLF,POOL,SPA,WHIRLPOOLS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Luxuriously-appointed 2-, 3-,and 4-bedroom residences</li><li>Dedicated concierge</li><li>At-your-service ski valet</li><li>Fitness Center</li><li>Ritz Kids Program</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00048;8796445392514;DINING,FITNESS_CENTER,GOLF,POOL,SPA;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Luxurious 2- and 3-bedroom residences include a separate living room, dining area, fully equipped kitchen and private balcony</li><li>Discover a mountain retreat in one of the world's most desirable ski destinations</li><li>Savor delectable cuisine at our onsite Lobby Lounge, enjoy the convenience of an in-residence Chef's dinner or sample one of the area's tempting restaurants </li><li>Unwind with refreshing swim in the outdoor pool</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00062;8796438937218;GOLF,THEME_PARK;true;true;"<h2>Resort-At-a-Glance</h2> <ul> <li>Spacious and elegantly appointed studio,1- and 2-bedroom villas accommodate as many as 6 to 8 guests</li> <li>Williamsburg has many historical and entertainment attractions</li> <li>Williamsburg has many historical and entertainment attractions</li> <li>Beautiful golf club</li> <li>Secluded, country estate resort with beautiful grounds</li> <li>The Marketplace<sup>sm</sup>convenience store, fitness center and planned children&Atilde;&cent;&acirc;&sbquo;&not;&acirc;&bdquo;&cent;s/family activities</li> </ul> <p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>"
Output Catalog:Online;Resort_Data_00043;8796550184578;BEACH,DINING,FITNESS_CENTER,GOLF,POOL,SHOPPING,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious and elegantly appointed 2- and 3-bedroom villas accommodate up to 8 guests</li><li>Beautiful oceanfront location with excellent views and privacy</li><li>Meticulously landscaped and lavishly equipped grounds featuring oceanfront pools, private cabanas, many firepits, grills and picnic areas</li><li>Located near many world-class golf courses, spas and restaurants</li><li>On-site fitness center</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00034;8796532260482;BEACH,DINING,FITNESS_CENTER,GOLF,KIDS_ACTIVITIES,POOL,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious, elegantly appointed 2- and 3-bedroom villas accommodate up to 10 guests</li><li>Beachfront resort with private beach for sunning, swimming and watersports</li><li>The Palm Beaches have world-famous shopping, golf courses, spas and cultural arts attractions</li><li>The Marketplace<sup>sm</sup> on-site convenience store, fitness center, planned children's and family activities</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00050;8796512992898;DINING,FITNESS_CENTER,GOLF,POOL,SHOPPING,SPA,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;false;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious and elegantly appointed 2- and 3-bedroom townhouses accommodate up to 8 people</li><li>Remarkable 2-story townhouse-style villas with private terraces</li><li>Located in the French countryside, just miles outside of Paris</li><li>Beautifully landscaped grounds with expansive pools, gardens and lake</li><li>The Marketplace<sup>sm</sup> convenience store, fitness center, planned children's/family activities</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00020;8796438052482;BEACH,DINING,FITNESS_CENTER,GOLF,POOL,SHOPPING,SPA,WIRELESS_INTERNET_ACCESS;true;true;"<h2>Resort-At-a-Glance</h2><ul> <li>Indulgent, spacious 2-bedroom/2-bath or 3-bedroom/3-bath&nbsp;villas accommodating up to 8 guests and offering approximately 1,665 square feet of living space</li> <li>A secluded master-planned community shared by Grand Residences by Marriott<sup>&reg;</sup></li> <li>520 lush acres including 38 acres of wandering lagoon waterways</li> </ul><p>Features, furnishings and amenities may be proposed and are subject to change.</p>"
Output Catalog:Online;Resort_Data_00026;8796525543042;BEACH,DINING,FITNESS_CENTER,GOLF,POOL,SHOPPING,SPA,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious and elegantly appointed 2-bedroom/2-bath villas accommodate up to 8 guests</li><li>Non-smoking resort</li><li>Wooded grounds and scenic surroundings</li><li>Located near many world-class golf courses, restaurants and recreational areas</li><li>On-site fitness center</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00022;8796508372610;DINING,FITNESS_CENTER,GOLF,KIDS_ACTIVITIES,POOL,SHOPPING,THE_MARKETPLACE,THEME_PARK,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Shares the 500-acre Grande Lakes Orlando campus with a JW Marriott and The Ritz-Carlton Orlando, Grande Lakes, offering top-notch golf, an award-winning spa and many onsite restaurants </li><li>Elegantly appointed 2- and 3-bedroom villas and townhomes for up to 12 guests</li><li>Future proposed amenities will include an elegant pool, a zero-entry pool including two dueling waterslides, 3 whirlpool spas and pool bar</li><li>Future proposed amenities will include The Marketplace<sup>sm</sup> convenience store, fitness center, planned children's activities, a waterside promenade, firepits and enhanced outdoor grilling facilities</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00053;8796432416386;DINING,FITNESS_CENTER,GOLF,KIDS_ACTIVITIES,POOL,SHOPPING,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious and comfortably appointed 2-bedroom villas accommodate up to 8 guests</li><li>Conveniently located in the heart of Branson, where there are numerous theaters and other attractions</li><li>Charming resort complex with indoor and outdoor pools and scenic wooded surroundings</li><li>Branson features beautiful golf courses and picturesque lakes</li><li>On-site The Marketplace Express<sup>sm</sup> convenience store and fitness center</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00036;8796534455938;DINING,FITNESS_CENTER,GOLF,POOL,SHOPPING,SPA,THE_MARKETPLACE,THEME_PARK,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious, elegantly appointed 2-bedroom/2-bath villas accommodate up to 6 guests</li><li>In the heart of Orlando, minutes away from all the major theme parks</li><li>Two beautiful outdoor pools, whirlpool spas in a gorgeous setting amid lakes and palms</li><li>On-site restaurant, fitness center and recreation with outstanding golf, spas, dining and shopping nearby</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_0063;8796504407682;GOLF;true;true;<h2>Resort-At-a-Glance</h2> <ul> <li>Elegant guestrooms, and spacious 1- and 2-bedroom villas accommodate 2-8 guests</li> <li>World-class golf at Shadow Ridge Golf Club</li> <li>Gorgeous outdoor pools, whirlpools, and the Shadow Ridge Health club with tennis</li> <li>Restaurants, The Marketplace<sup>sm</sup> store, fitness center and planned kids activities</li> </ul> <p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00018;8796497395330;BEACH,DINING,FITNESS_CENTER,GOLF,POOL,SHOPPING,SPA,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious and elegantly appointed 2-bedroom/2-bath villas accommodate up to 6 guests</li><li>Non-smoking resort</li><li>Beautiful resort overlooking Shelter Cove Harbour, surrounded by lush grounds</li><li>Located near many world-class golf courses, restaurants and recreational areas</li><li>On-site fitness center and planned family and children's activities</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;PA-resortData-001;8797312073346;BEACH,BIKING,DINING,FITNESS_CENTER,GOLF,POOL,RESTAURANTS_AND_LOUNGES,WIRELESS_INTERNET_ACCESS;false;true;"<h2>Resort-At-a-Glance</h2> <ul> <li>Well-appointed 2- bedroom, 2- bath villas accommodate up to 6 guests</li> <li>Variety of dining options and spa treatments at the nearby JW Marriott<sup>&reg;</sup> Phuket Resort & Spa</li> <li>Swimming pool and children's outdoor pool with waterslide</li> <li>Located near championship golf courses and amazing beaches</li> </ul> <p>Features, furnishings and amenities may be proposed and are subject to change.</p>"
Output Catalog:Online;southBeachResortData;8796617686658;BEACH,DINING,GOLF,RESTAURANTS_AND_LOUNGES,SERVICES,URBAN,WIRELESS_INTERNET_ACCESS;true;true;"<p>Marriott Vacation Club Pulse, South Beach offers a world of culinary delights, sun-soaked streets, ocean beaches, and vibrant nightlife.</p> <ul> <li>Streamlined&nbsp;furnishings and over-sized mirrors reflecting the natural light create open and airy spaces</li> <li>Located on the 1400 block, on the north end of Ocean Drive, within easy walking distance to the best South Beach has to offer</li> <li>Experience restaurants and galleries of Lincoln Road and the boutique shops and nightclubs of Collins and Washington Avenues&mdash;and the turquoise waters of Miami Beach right across the street</li> </ul> <p style=""position:relative; bottom:-255px; right:-725px"">PL-16-019</p>"
Output Catalog:Online;Resort_Data_00057;8796459155074;BEACH,DINING,FITNESS_CENTER,GOLF,KIDS_ACTIVITIES,POOL,SHOPPING,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Splendid 1-bedroom/2-bath and 2-bedroom/3-bath suites accommodate up to 8 guests</li><li>Oceanfront suites on Kaanapali Beach, all with garden/mountain or ocean views</li><li>Excellent golf at the Kaanapali Golf Courses North and South and other nearby courses</li><li>Meandering outdoor pools with waterfall, walking bridges, pool bar</li><li>Several on-site restaurants, fitness center and planned children/family activities</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
