# catalogVersion;code;pk;name;altName;resortDisplayName;intro;description;importantNotice;alertArea;closuredatesinfo;legalCodeArea;lookUpResortCode;marshaHotelCode;tswResortID;excludeTripAdvisor;resortAddress;resortData;resortFeatures;brands;onlineDate;offlineDate;disclaimer
Output Catalog:Online;DE;8796163670017;Marriott's Desert Springs Villas;Marriott's Desert Springs Villas;;<strong>A stunning desert playground is calling.</strong> At Marriott's Desert Springs Villas, you'll find endless recreation and unlimited relaxation. From our convenient southern California location, you can experience all the reasons why Palm Desert — a land of majestic mountains, sunny days, and starry nights — is truly like no place else.;Surrounded by the glittering Palm Desert, tucked among scenic southern California mountains, this stylish and serene resort beckons sun seekers, spa goers and adventure lovers alike. Here, you'll see why a Palm Desert vacation is truly like nothing else — in a place like nowhere else.;<p>Our resort is undergoing various phases of construction throughout the year, including villa and street refurbishments. Guests may expect intermittent noise due to the use of construction machinery for all projects. We thank you for understanding and apologize for any inconvenience.</p><p>Marriott's Desert Springs Villas is currently undergoing villa renovations that will last through October, 2018. Some noise may be heard during the hours of 8 a.m. - 6:30 p.m.</p><p>Please note that there are two popular music festivals that occur during the month of April. The Coachella Music Festival dates are April 13th - 15th and April 20th 22nd in 2018. The dates for the Stagecoach Music Festival in 2018 are April 27th - 29th. Guests can expect above average traffic in and around the area during the aforementioned dates.</p><p>Reminder, use of amenities at the JW Desert Springs Marriott Resort and Spa are subject to seasonal availability and/or blackout dates. Fees may apply, inquire at check-in.</p>;;;;;CTDDS;DE;false;8796489039490;8796489072258;8796489105026;8796142567515;;;
Output Catalog:Online;DS;8796163506177;Marriott's Desert Springs Villas II;Marriott's Desert Springs Villas II;;<strong>A fulfilling and thrilling escape awaits.</strong> Set among lush green grounds, waterfalls and palms in southern California, Marriott's Desert Springs Villas II puts you in the center of a personal playground of activity and pampering. So whether your definition of the picture-perfect Palm Desert vacation involves outdoor adventure or poolside relaxation, you'll find it here under the special magic of the desert sun.;In the shade of San Jacinto Peak, surrounded by natural desert beauty, this stylish vacation retreat beckons like a mirage in Palm Desert, California. Here, dream vacations filled with memorable activities and majestic sights become reality.;<p>Our resort is undergoing various phases of construction throughout the year, including villa and street refurbishments. Guests may expect intermittent noise due to the use of construction machinery for all projects. We thank you for understanding and apologize for any inconvenience.</p><p>Marriott's Desert Springs Villas is currently undergoing villa renovations that will last through October, 2018. Some noise may be heard during the hours of 8 a.m. - 6:30 p.m.</p><p>Please note that there are two popular music festivals that occur during the month of April. The Coachella Music Festival dates are April 13th - 15th and April 20th - 22nd in 2018. The dates for the Stagecoach Music Festival in 2018 are April 27th - 29th. Guests can expect above average traffic in and around the area during the aforementioned dates.</p><p>Reminder, use of amenities at the JW Desert Springs Marriott Resort and Spa are subject to seasonal availability and/or blackout dates. Fees may apply, inquire at check-in.</p>;;;;;CTDVI;DS;false;8796476784258;8796476817026;8796476849794;8796142567515;;;
Output Catalog:Online;FW;8796163702785;Marriott's Fairway Villas;Marriott's Fairway Villas;;<strong>Bayfront Bounty.</strong> Across the bay from Atlantic City, nestled among woodlands along the water, you'll find the stately and charming Marriott's Fairway Villas. Once here, you'll discover much more awaits: all the ingredients for a completely leisurely, utterly satisfying New Jersey vacation.;Across the bay from Atlantic City, this charming plantation-style resort has a well-earned reputation as a retreat for vacations that are relaxing, memorable and seemingly over much too soon.;;;;;;AIYFW;FW;false;8796491169410;8796491202178;8796491234946;8796142567515;;;
Output Catalog:Online;UV;8796164521985;Marriott's Frenchman's Cove;Marriott's Frenchman's Cove;;<strong>Escape the everyday and discover this colorful Caribbean paradise.</strong> Overlooking Pacquereau Bay and St. Thomas Harbor, this stunning oceanfront resort is the perfect place to experience the cosmopolitan culture and Caribbean flair that define a St. Thomas vacation.;Perched on a hillside overlooking picturesque Pacquereau Bay, this cheerful and relaxing St. Thomas retreat covers 13 acres of the finest beach front property in all of the U.S. Virgin Islands.;<p>Please note the resort pool and pool deck will be closed for refurbishment from April 30, 2018 to May 14, 2018. Access to the beach and Sunset Cove Bar & Grill will be limited. The pool at the adjacent resort will be available. Guests should expect construction related noise and debris during the time of this project. Please contact the resort directly with any questions. We thank you for your understanding and sincerely apologize for any inconvenience this may cause.</p><p>Please note Frenchman's Cove will be undergoing an interior villa renovation beginning August 4, 2018 with an estimated completion date in early November 2018. Guests can expect construction related activities/noise during daytime hours. All existing resort amenities will remain open during this time. Additionally, there is ongoing construction on the land adjacent to the resort. For more information, please contact the resort. We thank you for your understanding and sincerely apologize for any inconvenience this may cause.</p>;;;;;STTUV;UV;false;8796542975618;8796543008386;8796543041154;8796142567515;;;
Output Catalog:Online;VG;8796164096001;"Marriott's Grand Chateau<sup>&reg;</sup>";Marriott's Grand Chateau®;;<strong>What happens here stays with you.</strong> Just off the legendary Las Vegas Strip, this resort allows you to experience a Vegas vacation your way. Here, you have easy access to all the Entertainment Capital of the World has to offer. And when you're done kicking up your heels, you can retreat your villa, kick off your shoes and relax.;Just off the legendary Strip, this resort is a stylish and welcoming oasis of comfort amid all the glitter, excitement and delight of a Las Vegas vacation.;<p>Please note that the 5th Floor Pool area will be closed for refurbishment on November 6, 2017 for 6 to 8 weeks. During this time, the 38th Floor Pool will remain open. We thank you for your understanding and sincerely apologize for any inconvenience this may cause.</p><p>Please note that on November 7, 2017 from the hours of 12:00 a.m. to 6:00 a.m., the resort will be completing a critical maintenance project requiring all electricity and hot water in the building to be turned off. We thank you for your understanding and sincerely apologize for any inconvenience this may cause.</p>;;;;;LASVG;VG;false;8796518301314;8796518334082;8796518366850;8796142567515;;;
Output Catalog:Online;GR;8796163735553;Marriott's Grande Ocean;Marriott's Grande Ocean;;<strong>Your ideal beach vacation beckons.</strong> Whether you seek recreation and adventure or want nothing more than rest and relaxation, you'll find it at Marriott's Grande Ocean. With direct access to the beach — and to everything Hilton Head Island has to offer — the beach vacation of your dream awaits.;Located on Hilton Head Island, in the heart of the Sea Islands and South Carolina's picturesque Lowcountry, this oceanfront resort is a vacation treasure. Here, the swimming pools are plentiful, the beach is accessible and the location is ideal.;Please note the indoor pool will be undergoing renovation from August 28, 2017 through October 28, 2017 from the hours of 9:00 a.m. - 6:00 p.m. Adult swim times will be available at the outdoor lap pool and south pool. We thank you for your understanding and sincerely apologize for any inconvenience this may cause.;;;;;HHHVI;GR;false;8796493233794;8796493266562;8796493299330;8796142567515;;;
Output Catalog:Online;GV;8796164554753;Marriott's Grande Vista;Marriott's Grande Vista;;<strong>A getaway that gets you close to everything.</strong> At this tropical hideaway, you'll discover a delightful array of first-class amenities and family-friendly features that make every day of your Orlando vacation a truly magical experience. Nestled in this emerald oasis, it's hard to believe that the world's most exhilarating theme parks and family attractions are but a short distance away.;Minutes from all that makes an Orlando vacation so magical, this intimate family-friendly hideaway stretches across 160 acres of lush beauty, serenity and plenty of recreation. Get close to everything while you get away from it all.;<p>The Marketplace will be closed for renovations from April 21, 2017 through May 25, 2017. Coffee and select sundry items will be available in the Grande Cove during the renovation period.</p><p>Please note that Grande Vista will be undergoing a villa refurbishment project throughout its West Side Village area from August 20, 2017 through mid-October, 2017. Guests may expect scaffolding and moderate construction-related noise during normal working hours. However, every effort will be made to minimize the impact of the refurbishment activity for owners and guests staying within the West Side Village. We thank you for your understanding and sincerely apologize for any inconvenience this may cause.</p>;;;;;MCOGV;GV;false;8796545728130;8796545760898;8796545793666;8796142567515;;;
Output Catalog:Online;HA;8796164128769;Marriott's Harbour Club;Marriott's Harbour Club;;<strong>Discover the magic and mystique of the Lowcountry.</strong> As soon as you walk through the doors, you'll feel it. The relaxed Hilton Head Island vibe, captivating vistas, Lowcountry culture, and Southern hospitality all let you know you're on vacation.;Nestled in Hilton Head Island's Sea Pines Plantation and overlooking scenic Calibogue Sound, this charming seaside resort invites you to discover world-class relaxation and recreation with a distinctive Lowcountry vibe.;;;;;;HHHHT;HA;false;8796520234626;8796520267394;8796520300162;8796142567515;;;
Output Catalog:Online;HO;8796163768321;Marriott's Harbour Lake;Marriott's Harbour Lake;;<strong>Enjoy endless ways to share in Orlando family fun.</strong> Evoking the look, feel and colorful charm of Key West, Marriott's Harbour Lake offers an amazing array of options and opportunities for your family. You'll enjoy fun-filled days and nights in a carefree atmosphere where there's room for both rest and play.;Designed with families and fun in mind, this Key West-themed resort offers enough adventure and activity to keep your entire family engaged and entertained. But if you do decide to leave, all the magic of Orlando is nearby.;Please note our Florida Falls waterpark will be closed for refurbishment September 5, 2017 through September 22, 2017. All other resort pools and amenities will remain open during this time. We thank you for your understanding and sincerely apologize for any inconvenience this may cause.;;;;;MCOHO;HO;false;8796495625858;8796495658626;8796495691394;8796142567515;;;
Output Catalog:Online;HP;8796163801089;Marriott's Harbour Point;Marriott's Harbour Point;;<strong>Stay, play and getaway at the hidden gem of Hilton Head Island.</strong> Nestled in the Shelter Cove community — the “hidden gem” of the island — this centrally located yet secluded resort promises blissful relaxation, breathtaking views and bountiful memory-making moments. Here, you're in the perfect position to experience the sublime pleasures and storied pastimes of Lowcountry life.;Surrounded by popular and picturesque Shelter Cove Harbour, this resort is a serene family retreat and the idyllic setting for a memory-making Hilton Head Island vacation.;;;;;;HHHPT;HP;false;8796497362562;8796497395330;8796497428098;8796142567515;;;
Output Catalog:Online;HE;8796164227073;Marriott's Heritage Club;Marriott's Heritage Club;;<strong>Welcome to your Southern comfort zone.</strong> Overlooking scenic Calibogue Sound, steps from Harbour Town Marina and its landmark red-and-white striped lighthouse, you'll find Marriott's Heritage Club. Here, you're in the heart of all that Hilton Head Island has to offer. Let the vacation memories begin, y'all.;At this tranquil resort within Sea Pines Plantation, everything that makes a Hilton Head Island vacation such a beloved family destination is available in its finest form.;"<p>Please <a href=""//owners.marriottvacationclub.com/medias/HERITAGE-arrival-notice.pdf?context=bWFzdGVyfHJvb3R8MjA1NzQ2fGFwcGxpY2F0aW9uL3BkZnxoNDAvaGEyLzg4MjE5NDA2NTAwMTQucGRmfGI3ZDdiZjIwZjBiMDhjNmE5OTk0ZTFiOTc1NTJiZjFlOTA3OTU0NWUxZTZjMGRkOWJhMmU2N2Y3Y2I3OGY2ODU"" target=""_blank"">click here</a> for arrival information.</p>";;;;;HHHHR;HE;false;8796525510274;8796525543042;8796525575810;8796142567515;;;
Output Catalog:Online;IM;8796164161537;Marriott's Imperial Palms;Marriott's Imperial Palms;;<strong>Let the merry making and memory making begin.</strong> Located on Hawk's Landing Golf Course and surrounded by Orlando's world-famous attractions, this resort is a complete vacation destination that puts you in easy reach of all the things that make an Orlando vacation the premiere destination for family fun and adventure.;"Discover theme park thrills just minutes from this resort. Or, experience the amenities at the adjacent Orlando World Center Marriott<sup>&reg;</sup> Resort & Convention Center.";Please note refurbishment efforts for the villas, roadways, and parking lots will begin April 15, 2018 and continue through late June, 2018. Guests may expect intermittent construction related activities/noise during this time. We thank you for your understanding and sincerely apologize for any inconvenience this may cause.;;;;;MCOIP;IM;false;8796521905794;8796521938562;8796521971330;8796142567515;;;
