# catalogVersion;syncItemKey;pk;resortFeatureAlert;resortFeatureDisclaimer;resortFeatureTitle;resortFeatureSubTitle;resortFeatureSummary;resortFeatureLegalCode
Output Catalog:Online;ResortFeature_00039;8796426976898;;Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.;Resort Features;Resort Features;"<p>you'll easily fill your days at this relaxing retreat &mdash; pamper yourself at the on-site spa, splash around in several pools, play golf on stunning seaside fairways or enjoy the amenities at the neighboring St. Kitts Marriott<sup>&reg;</sup> Resort & The Royal Beach Casino.</p>";
Output Catalog:Online;ResortFeature_00029;8796424748674;;Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.;Resort Features;Resort Features;"<p>No matter what your dream mountain vacation looks like, Marriott's Mountain Valley Lodge is the ideal place to begin, end and spend your days. Enjoy the sparkling lake and breathtaking views, large outdoor heated pool, hot tub and whirlpool, fitness center and ski lockers.</p>";
Output Catalog:Online;ResortFeature_00021;8796503621250;;Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.;Resort Features;Resort Features;"<p>Designed to reflect the look, feel and warm hospitality of a Hawaiian plantation, Marriott's Ko Olina Beach Club invites you to make this piece of paradise your own with amenities that will please the entire family: pampering spa services, heated outdoor pools with whirlpools, a children's outdoor pool, activity center and play area. Nearby, you'll enjoy privileged access to Ko Olina Golf Club and Ko Olina Marina.</p><p class='owneronly'>Redeem Vacation Club Points for resort credit for on-site experiences and more at this property. <a id=""omr_destination_resortfeatures_tl"" data-name=""destination-resortfeatures-tl-ResortCreditProgram"" href=""/timeshare/mvco/resortcredit?region=NA&resort=KO"">View list of options</a>.</p>";
Output Catalog:Online;ResortFeature_00041;8796547825282;;<p>Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.</p>;Resort Features;Resort Features;"<p>There's much to enjoy without leaving the resort &mdash; from the large indoor pool and Aquacade to adjacent restaurants, a fitness center and planned activities to keep everyone busy. Or simply relax and take in the magnificent views from the heated indoor/outdoor connecting pool and whirlpools spas. </p>";
Output Catalog:Online;NY-ResortFeatures-001;8796617916034;;Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.;Property Features;;<p>Whether you seek quintessential or quirky New York City, it's all within reach. This sleek urban retreat makes it easy to feel the thrill of mingling with locals and tourists. And it allows you to end your day in a place most tourists and locals only dream of: high above Manhattan in the shadow of the Empire State Building at one of the city's most spectacular (and award-winning) rooftop bars. </p>;
Output Catalog:Online;ResortFeature_00027;8796523708034;;Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.;Resort Features;Resort Features;"<p>With a desirable beachfront location, this tropical retreat makes it easy to play around in the water or on the sand. Or you can simply sit back and bask in the sunshine beside the 26,000-square-foot swimming pool. Golfers of all levels will appreciate the experience of playing on a championship course designed by Jack Nicklaus. </p><p class='owneronly'>Redeem Vacation Club Points for resort credit for on-site experiences and more at this property. <a id=""omr_destination_resortfeatures_tl"" data-name=""destination-resortfeatures-tl-ResortCreditProgram"" href=""/timeshare/mvco/resortcredit?region=NA&resort=KA"">View list of options</a>.</p>";
Output Catalog:Online;ResortFeature_00051;8796458270338;;Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.;Resort Features;Resort Features;<p>Marriott's Villas at Doral offers plenty of opportunities for your entire family to stay active, to relax, or do a bit of both. Enjoy a sunrise walk, a quick workout in the fitness center, afternoon games and crafts for the kids, a family cookout, or a perfectly lazy day spent playing and laying at the pool. Four championship golf courses, a classic European spa and a water recreation playground are all nearby.</p>;
Output Catalog:Online;Resort_Features_TD_001;8797764894338;;;Resort Features;;<p>You'll be delighted with our rejuvenating tropical landscape, shimmering lagoon pools and first-rate friendly service. Enjoy access to  amenities at the adjacent Courtyard by Marriott' Bali Nusa Dua. </p>;
Output Catalog:Online;ResortFeature_00017;8796495691394;;Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.;Resort Features;Resort Features;"<p>Here, you'll find all the ingredients for a memorable Orlando family vacation: recreational programs for all ages, the Florida Falls Pool Complex, an interactive pirate-inspired water playground and Key Lime Greens<sup>&reg;</sup> 18-hole miniature golf course. </p><p class='owneronly'>Redeem Vacation Club Points for resort credit for on-site experiences and more at this property. <a id=""omr_destination_resortfeatures_tl"" data-name=""destination-resortfeatures-tl-ResortCreditProgram"" href=""/timeshare/mvco/resortcredit?region=NA&resort=HO"">View list of options</a>.</p>";
Output Catalog:Online;ResortFeature_00013;8796491234946;;Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.;Resort Features;Resort Features;<p>With the resort's gracious countryside setting as a backdrop, your vacation retreat to this enchanting place offers a variety of on-site opportunities: a classic golf club experience, the pleasures of the on-site Elizabeth Arden Red Door Spa, and indoor and outdoor pools. <span class='owneronly'>You'll also enjoy privileged access to the Pines and Bay golf courses at the adjacent Seaview Resort & Spa. </span></p>;
Output Catalog:Online;ResortFeature_00009;8796473867906;;"<p style=""position:absolute; bottom:-0px; right:25px"">PL-16-023</p>";Property Features;Resort Features;<p>This lovingly preserved Boston landmark combines old world charm with new world comfort and an unbeatable location. Begin your day in the historic Counting Room Lounge, or watch the sunset over the city and harbor from the 26th floor observation deck. </p>;
Output Catalog:Online;ResortFeature_00022;8796508405378;;Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.;Resort Features;Resort Features;"<p>Take in your surroundings on the waterside promenade, relax and play at the elegant zero-entry pool complex with dueling waterslides, whirlpool spas and pool bar. Or enjoy access to the amenities of the adjacent JW Marriott<sup>&reg;</sup> Orlando, Grande Lakes and The Ritz-Carlton<sup>&reg;</sup>  Orlando, Grande Lakes. </p><p class='owneronly'>Redeem Vacation Club Points for resort credit for on-site experiences and more at this property. <a id=""omr_destination_resortfeatures_tl"" data-name=""destination-resortfeatures-tl-ResortCreditProgram"" href=""/timeshare/mvco/resortcredit?region=NA&resort=LR"">View list of options</a>.</p>";
Output Catalog:Online;ResortFeature_MY;8796505456258;;"<p style=""position:absolute; bottom:-0px; right:25px"">PL-16-019</p>";Property Features;;<p>From this desirable home base in the heart of the downtown district, you can explore and experience everything the nation's capital has to offer and yet still be close enough to return for rest and recharge. Recount your day's adventures over locally inspired fare and seasonal cocktails at EDGAR, the onsite American brasserie.</p>;
Output Catalog:Online;ResortFeature_00001;8796464463490;;Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.;Resort Features;Resort Features;"<p>Built with native stone and rustic timber, Marriott Grand Residence Club, Lake Tahoe reflects the character and splendor of its surroundings. It's a place defined by comfort, grandness and casual style &mdash; surrounded by ski trails and bike paths, entertainment, and world-renowned restaurants.</p>";
Output Catalog:Online;ResortFeature_00003;8796462857858;;Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.;Resort Features;Resort Features;"<p>With stunning grounds, winding palm-lined pools and spacious accommodations, our resort offers you a paradise within paradise. you'll also enjoy access to Aruba Marriott Resort & Stellaris Casino and the Mandara Spa.</p> <p class='owneronly'>Redeem Vacation Club Points for resort credit for on-site experiences and more at this property. <a id=""omr_destination_resortfeatures_tl"" data-name=""destination-resortfeatures-tl-ResortCreditProgram"" href=""/timeshare/mvco/resortcredit?region=NA&resort=AC"">View list of options</a>.</p>";
Output Catalog:Online;wk-resortFeatures-001;8797013098114;;;Property Features;;"<p>Designed to reflect the rich Polynesian culture and diverse landscape of its surroundings, Marriott's Waikoloa Ocean Club features three meandering swimming pools with waterslides and fun features, a fitness center, on-site restaurant and Mandara Spa. </p><p class='owneronly'>Redeem Vacation Club Points for resort credit for on-site experiences and more at this property. <a id=""omr_destination_resortfeatures_tl"" data-name=""destination-resortfeatures-tl-ResortCreditProgram"" href=""/timeshare/mvco/resortcredit?region=NA&resort=WK"">View list of options</a>.</p>";
Output Catalog:Online;ResortFeature_00008;8796484353666;;Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.;Resort Features;Resort Features;"<p>Here, everything is desirable: the beachfront location, the gracious service, and thoughtful resort amenities including posh poolside bar, multiple swimming pools and concierge services. Miles of pristine beach, distinctive spas, championship golf and all the offerings of Naples are nearby.</p><p class='owneronly'>Redeem Vacation Club Points for resort credit for on-site experiences and more at this property. <a id=""omr_destination_resortfeatures_tl"" data-name=""destination-resortfeatures-tl-ResortCreditProgram"" href=""/timeshare/mvco/resortcredit?region=NA&resort=ML
"">View list of options</a>.</p>";
Output Catalog:Online;ResortFeature_00057;8796480355970;;Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.;Resort Features;Resort Features;"<p>To make your Hawaiian vacation even more picture perfect, thoughtful amenities include meandering outdoor pools with waterfall, walking bridges, a pool bar, several on-site restaurants, a fitness center and planned activities for the entire family. </p><p class='owneronly'>Redeem Vacation Club Points for resort credit for on-site experiences and more at this property. <a id=""omr_destination_resortfeatures_tl"" data-name=""destination-resortfeatures-tl-ResortCreditProgram"" href=""/timeshare/mvco/resortcredit?region=NA&resort=MH"">View list of options</a>.</p>";
Output Catalog:Online;ResortFeature_00006;8796468461186;;Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.;Resort Features;Resort Features;"<p>We are dedicated to helping you enjoy the Phoenix area in all its natural beauty. On property, you'll experience a sublime atmosphere and supreme views, whether you're splashing in the pool, resting by the scenic waterfall or participating in activities. And within walking distance, you'll find world-class golf at Palmer and Faldo designed courses.</p><p class='owneronly'>Redeem Vacation Club Points for resort credit for on-site experiences and more at this property. <a id=""omr_destination_resortfeatures_tl"" data-name=""destination-resortfeatures-tl-ResortCreditProgram"" href=""/timeshare/mvco/resortcredit?region=NA&resort=CV"">View list of options</a>.</p>";
Output Catalog:Online;ResortFeature_00002;8796460301954;;<p>Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.</p>;Resort Features;Resort Features;"<p>We strive to make your stay on the magical island of Aruba even more amazing. Beyond our first-class resort amenities and service so attentive you may never want to check out, you'll also have access to the amenities at Aruba Marriott Resort & Stellaris Casino and the Mandara Spa. </p><p class='owneronly'>Redeem Vacation Club Points for resort credit for on-site experiences and more at this property. <a id=""omr_destination_resortfeatures_tl"" data-name=""destination-resortfeatures-tl-ResortCreditProgram"" href=""/timeshare/mvco/resortcredit?region=NA&resort=AB"">View list of options</a>.</p>";
Output Catalog:Online;ResortFeature_00045;8796456042114;;<p>Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.</p>;Resort Features;Resort Features;<p>When nature created Lake Tahoe, it made a grand statement by placing a large crystal blue lake next to a glorious mountain range. This rare placement of water and earth creates endless options for outdoor recreation. Lake Tahoe also is known for entertainment, shopping, gourmet dining, and more. </p>;
Output Catalog:Online;ResortFeature_00020;8796438085250;;Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.;Resort Features;Resort Features;"<p>As part of a 500-acre master-planned community, Marriott's Kauai Lagoons &mdash; Kalanipu'u surrounds you with tropical foliage, sparkling lagoons and dramatic coastline. Enjoy a refreshing swim at the outdoor pool complex or soothing soak in a heated spa, where the view and vistas will take your breath away. </p><p class='owneronly'>Redeem Vacation Club Points for resort credit for on-site experiences and more at this property. <a id=""omr_destination_resortfeatures_tl"" data-name=""destination-resortfeatures-tl-ResortCreditProgram"" href=""/timeshare/mvco/resortcredit?region=NA&resort=KN"">View list of options</a>.</p>";
Output Catalog:Online;ResortFeature_00037;8796536389250;;Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.;Resort Features;Resort Features;"<p>Marriott's Sabal Palms allows you to be as active or inactive as you'd like. Indoor and outdoor pools with whirlpool spas, extensive recreational facilities and the amenities at the Orlando World Center Marriott<sup>&reg;</sup> are all yours to enjoy</p><p class='owneronly'>Redeem Vacation Club Points for resort credit for on-site experiences and more at this property. <a id=""omr_destination_resortfeatures_tl"" data-name=""destination-resortfeatures-tl-ResortCreditProgram"" href=""/timeshare/mvco/resortcredit?region=NA&resort=SA"">View list of options</a>.</p>";
Output Catalog:Online;ResortFeature_00043;8796550217346;;Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.;Resort Features;Resort Features;"<p>Enjoy amenities throughout the meticulously landscaped grounds: oceanfront pools, private cabanas, picnic areas, a fitness center, theater room and planned activities for adults, families and children.</p><p class='owneronly'>Redeem Vacation Club Points for resort credit for on-site experiences and more at this property. <a id=""omr_destination_resortfeatures_tl"" data-name=""destination-resortfeatures-tl-ResortCreditProgram"" href=""/timeshare/mvco/resortcredit?region=NA&resort=SF"">View list of options</a>.</p>";
Output Catalog:Online;ResortFeature_00052;8796540845698;;Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.;Resort Features;Resort Features;"<p>Whether you're in the mood for relaxation or nonstop action, you'll find opportunities and options for both on the lush and manicured grounds. Enjoy access to three outdoor pools fitness center and planned activities for adults, children and families. </p><p class='owneronly'>Redeem Vacation Club Points for resort credit for on-site experiences and more at this property. <a id=""omr_destination_resortfeatures_tl"" data-name=""destination-resortfeatures-tl-ResortCreditProgram"" href=""/timeshare/mvco/resortcredit?region=NA&resort=WI"">View list of options</a>.</p>";
Output Catalog:Online;ResortFeature_00036;8796534488706;;Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.;Resort Features;Resort Features;"<p>With generous amenities amid tropical surroundings and crystal-clear pools, this resort is an exceptional treat for the entire family. You also have access to all the amenities at the adjacent Orlando World Center Marriott<sup>&reg;</sup>.</p><p class='owneronly'>Redeem Vacation Club Points for resort credit for on-site experiences and more at this property. <a id=""omr_destination_resortfeatures_tl"" data-name=""destination-resortfeatures-tl-ResortCreditProgram"" href=""/timeshare/mvco/resortcredit?region=NA&resort=RO"">View list of options</a>.</p>";
Output Catalog:Online;ResortFeature_00019;8796521971330;;Marriott International, Inc., Marriott Vacation Club International and their respective affiliates and subsidiaries, make no warranty, express or implied, as to the condition, capacity, performance or any other aspect of the activities, events, or service providers listed herein. No inquiry has been made into the activities or events, or the qualifications or the quality of services offered by the providers. Do not consider this an endorsement of or recommendation for any of the activities, events, or providers. Features, furnishings and amenities may be proposed and are subject to change.;Resort Features;Resort Features;"<p> you'll enjoy the lush tropical setting, sparkling lake, numerous pools, fitness center, recreation facilities and planned family and children's activities. Close to home, you have access to all the wonderful amenities and activities at Orlando World Center Marriott<sup>&reg;</sup>. </p><p class='owneronly'>Redeem Vacation Club Points for resort credit for on-site experiences and more at this property. <a id=""omr_destination_resortfeatures_tl"" data-name=""destination-resortfeatures-tl-ResortCreditProgram"" href=""/timeshare/mvco/resortcredit?region=NA&resort=IM"">View list of options</a>.</p>";
